cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,model_name,avg_error,animal_id
majority_vote,0.984092580600209,5.740932642487047,0.6667209861891408,0.04219797645900045,TweetyNet,1.5907419399791012,llb11
min_segment_dur,0.9856348655312646,8.823834196891191,0.7478317736884006,0.062132196220027254,TweetyNet,1.436513446873544,llb11
min_segment_dur_majority_vote,0.9840829632447164,4.9067357512953365,0.6706631907430651,0.032990491695036976,TweetyNet,1.5917036755283553,llb11
none,0.9856444828867579,9.7720207253886,0.7438365740890371,0.07236712935815388,TweetyNet,1.4355517113242122,llb11
majority_vote,0.978871107963194,9.46938775510204,0.6607392854517742,0.035986982722460654,TweetyNet,2.1128892036806013,llb16
min_segment_dur,0.9789898334678606,15.681632653061225,0.6646219380053573,0.06397522837660363,TweetyNet,2.1010166532139385,llb16
min_segment_dur_majority_vote,0.9788931641583075,8.70204081632653,0.6620927812136636,0.03324861157045441,TweetyNet,2.1106835841692484,llb16
none,0.9789677772727468,16.693877551020407,0.6632331825789171,0.06758085872439885,TweetyNet,2.1032222727253247,llb16
majority_vote,0.970760810639316,2.3701923076923075,0.8511929096973389,0.038596923755905774,TweetyNet,2.9239189360684037,llb3
min_segment_dur,0.9705645619190709,3.545673076923077,0.8452744767321771,0.045930238786217464,TweetyNet,2.9435438080929077,llb3
min_segment_dur_majority_vote,0.9709038479586082,1.8028846153846154,0.8562390118740771,0.027941323259359795,TweetyNet,2.909615204139182,llb3
none,0.9704215245997788,4.1298076923076925,0.8403521910359402,0.05672080519121511,TweetyNet,2.9578475400221182,llb3
